ISO Code,Country,Region,Year,Cluster,Index,Infrastructure,Affordability,Consumer Readiness,Content and Services,Network coverage,Network performance,Spectrum,Mobile data affordability,Handset affordability,Taxation,Mobile Ownership,Basic Skills,Gender Equality,Local Relevance,Online Security,2G Population Coverage,3G Population Coverage,4G Population Coverage,5G Population Coverage,Mobile download speeds,Mobile upload speeds,Mobile latencies,Spectrum assigned in bands below 1GHz,Spectrum assigned in bands between 1-3GHz,Spectrum assigned in bands between 3-6GHz,Spectrum assigned in mmWave bands,Affordability of entry basket (1GB),Affordability of higher basket (5GB),Affordability of entry basket (1GB) for poorest 40%,Affordability of higher basket (5GB) for poorest 40%,Device affordability,Device affordability for poorest 40%,Cost of taxes on mobile data,Cost of taxes on handsets,Cost of sector specific taxes on mobile data,Mobile ownership,Literacy,School Life Expectancy,Gender gap in mobile ownership,Gender gap in mobile internet,Top-Level Domains (TLDs) per person,E-Government Score,Mobile Social Media Penetration,Locally developed apps per person,Digital Language Support,Language accessibility of top ranked apps,Cybersecurity Index,Readiness Score,Sustainability Score,Potential Deployment
SEN,Senegal,Sub-Saharan Africa,2021,2,48.97,56.87,52.56,51.49,37.37,85.7,39.0,34.97,46.7,48.72,71.95,45.66,36.55,72.26,37.75,35.85,99.0,99.3,90.2,0.0,11.84,21.36,83.79,48.24,36.17,0.0,0.0,57.79,50.12,43.27,35.6,56.59,40.86,56.5,100.0,59.35,45.66,48.59,24.51,76.82,67.7,37.43,49.38,22.11,53.09,38.94,24.94,35.85,60,65,No
SEN,Senegal,Sub-Saharan Africa,2022,2,47.31,59.18,48.36,47.64,36.73,87.7,42.77,34.97,45.68,39.23,71.95,47.78,37.04,58.1,36.95,35.85,99.4,99.4,95.0,0.0,12.08,30.78,85.43,48.24,36.17,0.0,0.0,59.61,46.28,45.09,31.76,47.09,31.36,56.5,100.0,59.35,47.78,49.48,24.61,56.28,59.92,37.33,49.34,16.83,54.22,39.96,23.49,35.85,60,65,No
SEN,Senegal,Sub-Saharan Africa,2023,2,48.29,62.65,46.91,49.28,37.53,88.1,47.61,41.85,46.71,34.6,71.95,49.59,37.75,60.52,37.95,35.85,99.4,99.4,96.0,0.0,17.69,38.83,86.3,53.0,36.17,30.0,0.0,60.63,47.31,46.11,32.79,42.46,26.73,56.5,100.0,59.35,49.59,50.36,25.13,61.62,59.42,37.05,49.34,20.37,53.72,42.4,23.06,35.85,60,65,No
SEN,Senegal,Sub-Saharan Africa,2024,2,49.77,64.46,42.43,50.83,44.15,89.79,50.44,41.85,34.58,35.52,71.95,50.91,37.75,63.84,38.35,67.34,99.5,99.6,98.0,8.0,24.51,41.66,85.14,53.0,36.17,30.0,0.0,48.11,32.7,33.59,23.92,43.38,27.65,56.5,100.0,59.35,50.91,50.36,25.13,57.79,69.88,37.07,47.79,27.15,49.07,43.12,22.91,67.34,60,65,No
SGP,Singapore,East Asia & Pacific,2021,0,91.25,86.18,97.43,92.12,89.63,98.5,80.97,71.96,93.58,100.0,100.0,88.44,87.92,100.0,87.4,98.52,100.0,100.0,100.0,85.0,67.0,83.27,92.63,71.43,79.17,50.0,100.0,100.0,94.48,96.81,83.03,100.0,100.0,100.0,100.0,100.0,88.44,98.0,77.84,100.0,100.0,75.86,96.34,87.88,100.0,75.11,100.0,98.52,90,85,Yes
SGP,Singapore,East Asia & Pacific,2022,0,93.03,91.89,98.9,92.67,88.94,99.65,94.1,71.96,97.24,100.0,100.0,89.69,88.32,100.0,86.55,98.52,100.0,100.0,100.0,96.5,100.0,89.44,92.86,71.43,79.17,50.0,100.0,100.0,100.0,100.0,88.97,100.0,100.0,100.0,100.0,100.0,89.69,98.0,78.64,100.0,100.0,75.57,96.2,83.8,100.0,75.28,100.0,98.52,90,85,Yes
SGP,Singapore,East Asia & Pacific,2023,0,93.28,93.42,98.65,92.75,88.57,99.84,97.72,71.96,96.63,100.0,100.0,89.93,88.32,100.0,86.09,98.52,100.0,100.0,100.0,98.43,100.0,100.0,93.15,71.43,79.17,50.0,100.0,100.0,99.03,99.79,87.7,100.0,100.0,100.0,100.0,100.0,89.93,98.0,78.64,100.0,100.0,75.07,96.2,83.43,100.0,73.83,100.0,98.52,90,85,Yes
SGP,Singapore,East Asia & Pacific,2024,0,93.16,93.56,97.74,92.12,89.4,99.88,98.05,71.96,94.34,100.0,100.0,90.16,88.32,97.89,86.78,99.86,100.0,100.0,100.0,98.78,100.0,100.0,94.15,71.43,79.17,50.0,100.0,100.0,100.0,91.89,85.47,100.0,100.0,100.0,100.0,100.0,90.16,98.0,78.64,100.0,95.79,75.17,98.31,83.42,100.0,76.17,100.0,99.86,90,85,Yes
SLB,Solomon Islands,East Asia & Pacific,2021,1,41.13,41.83,42.28,61.07,26.48,49.91,28.75,51.86,5.58,56.26,87.74,43.82,65.05,74.35,31.33,7.08,95.0,72.5,28.52,0.0,5.83,11.46,68.96,85.71,30.0,0.0,0.0,12.08,10.25,0.0,0.0,62.97,49.55,100.0,63.22,100.0,43.82,97.0,33.11,85.07,63.64,44.91,34.56,18.99,44.91,7.55,46.0,7.08,70,75,Yes
SLB,Solomon Islands,East Asia & Pacific,2022,1,39.9,40.35,37.11,62.7,27.0,53.04,21.91,51.86,9.88,39.03,87.74,45.3,65.05,77.74,31.98,7.08,95.0,78.48,30.38,0.0,5.6,12.35,47.78,85.71,30.0,0.0,0.0,17.57,14.57,5.18,2.18,45.74,32.32,100.0,63.22,100.0,45.3,97.0,33.11,87.55,67.93,44.61,36.76,16.86,48.2,8.88,46.0,7.08,70,75,Yes
SLB,Solomon Islands,East Asia & Pacific,2023,1,40.89,43.23,37.26,63.16,27.49,56.92,25.22,51.86,11.63,37.64,87.74,46.57,65.05,77.84,32.6,7.08,95.0,84.94,33.6,0.0,6.8,14.95,53.92,85.71,30.0,0.0,0.0,18.67,16.99,6.28,4.6,44.35,30.93,100.0,63.22,100.0,46.57,97.0,33.11,84.36,71.33,44.94,36.76,20.9,46.4,9.37,46.0,7.08,70,75,Yes
SLB,Solomon Islands,East Asia & Pacific,2024,1,42.9,44.26,37.26,66.08,31.08,59.4,25.33,51.86,10.61,38.66,87.74,48.35,65.05,84.82,34.42,17.7,95.0,87.92,36.82,0.0,8.67,15.06,52.27,85.71,30.0,0.0,0.0,20.08,10.81,7.7,3.87,45.37,31.96,100.0,63.22,100.0,48.35,97.0,33.11,86.75,82.9,44.33,49.7,22.62,46.19,11.12,46.0,17.7,70,75,Yes
SLE,Sierra Leone,Sub-Saharan Africa,2021,1,36.58,41.45,30.83,47.7,29.38,60.5,37.26,11.74,13.76,32.51,61.59,36.16,33.91,73.02,30.39,25.31,88.97,80.0,49.0,0.0,8.9,18.33,84.53,16.29,12.0,0.0,0.0,31.48,5.8,17.77,0.0,39.93,25.08,84.78,0.0,100.0,36.16,43.58,24.25,68.25,77.78,32.73,29.3,10.58,41.01,17.99,70.0,25.31,70,75,Yes
SLE,Sierra Leone,Sub-Saharan Africa,2022,1,38.89,46.46,40.53,41.15,29.52,72.12,38.15,11.74,34.27,36.26,61.59,37.91,33.91,51.63,30.57,25.31,93.2,95.0,62.0,0.0,10.1,21.29,83.08,16.29,12.0,0.0,0.0,45.05,37.22,31.33,23.5,43.69,28.83,84.78,0.0,100.0,37.91,43.58,24.25,40.3,62.96,32.48,28.01,8.88,42.74,19.75,70.0,25.31,70,75,Yes
SLE,Sierra Leone,Sub-Saharan Africa,2023,1,40.55,49.96,46.68,38.79,29.89,77.72,41.3,11.74,43.79,42.12,61.59,39.4,33.91,43.05,31.03,25.31,93.2,96.0,75.0,0.0,13.0,24.04,86.86,16.29,12.0,0.0,0.0,59.46,41.84,45.74,28.12,49.55,34.69,84.78,0.0,100.0,39.4,43.58,24.25,45.36,40.74,32.37,28.01,10.91,42.64,20.23,70.0,25.31,70,75,Yes
SLE,Sierra Leone,Sub-Saharan Africa,2024,1,45.14,51.09,42.76,52.11,36.46,79.86,41.99,11.74,30.67,45.43,61.59,41.17,33.91,81.23,31.42,56.63,96.0,96.66,79.0,0.0,14.59,25.07,86.32,16.29,12.0,0.0,0.0,46.46,28.31,32.74,15.18,52.86,38.0,84.78,0.0,100.0,41.17,43.58,24.25,81.82,80.65,31.79,38.23,12.68,37.97,20.54,70.0,56.63,70,75,Yes
SLV,El Salvador,Latin America & Caribbean,2021,2,60.38,55.3,51.37,77.05,60.73,83.8,39.43,30.02,36.61,54.53,74.61,69.38,67.1,94.67,72.59,13.3,98.0,95.0,90.0,0.0,10.98,21.9,85.42,35.05,41.67,0.0,0.0,45.12,45.12,28.09,28.09,63.75,45.3,73.73,92.48,57.63,69.38,90.0,44.21,92.16,97.18,48.9,52.18,72.14,73.74,97.33,89.5,13.3,60,65,No
SLV,El Salvador,Latin America & Caribbean,2022,2,60.18,56.83,54.03,72.55,58.86,84.6,42.46,30.02,38.45,59.32,74.61,71.4,67.1,79.16,70.25,13.3,98.0,96.0,91.0,0.0,13.43,28.33,85.62,35.05,41.67,0.0,0.0,46.91,46.91,30.0,30.0,68.48,50.16,73.73,92.48,57.63,71.4,90.0,44.21,76.74,81.58,48.68,46.7,61.41,73.7,97.61,93.0,13.3,60,65,No
SLV,El Salvador,Latin America & Caribbean,2023,2,61.74,58.75,58.45,71.97,58.77,85.4,45.72,31.52,39.43,59.21,94.99,73.31,67.1,75.51,70.13,13.3,98.0,97.0,92.0,0.0,17.6,34.51,85.04,35.05,46.67,0.0,0.0,48.01,48.01,30.86,30.86,68.5,49.92,92.48,92.48,100.0,73.31,90.0,44.21,68.09,82.93,48.78,46.7,60.45,72.09,100.0,92.0,13.3,60,65,No
SLV,El Salvador,Latin America & Caribbean,2024,2,63.98,62.02,55.89,76.69,63.04,88.97,50.33,31.52,32.33,59.91,94.99,74.23,67.1,88.75,69.47,37.29,98.85,98.85,98.85,0.0,22.59,42.54,85.86,35.05,46.67,0.0,0.0,45.15,37.55,28.0,18.61,69.2,50.62,92.48,92.48,100.0,74.23,90.0,44.21,85.19,92.31,48.18,50.9,60.19,68.08,100.0,90.95,37.29,60,65,No
SOM,Somalia,Middle East & North Africa,2021,1,32.87,43.05,19.55,43.42,31.93,56.82,32.39,36.82,23.37,14.91,21.21,25.68,34.4,70.18,35.6,17.25,80.0,76.83,45.23,0.0,7.45,28.87,60.83,45.42,43.64,6.77,0.0,37.67,24.34,22.39,9.06,23.75,6.08,50.0,13.64,0.0,25.68,54.0,14.81,99.56,40.8,26.51,29.43,13.27,61.96,51.84,19.39,17.25,70,75,Yes
SOM,Somalia,Middle East & North Africa,2022,1,32.99,47.18,16.32,47.32,32.49,61.97,37.58,36.82,24.24,5.95,21.21,26.49,34.4,81.06,36.3,17.25,80.0,79.95,54.98,0.0,8.55,31.32,72.86,45.42,43.64,6.77,0.0,38.54,25.21,23.27,9.94,11.91,0.0,50.0,13.64,0.0,26.49,54.0,14.81,100.0,62.13,26.67,29.44,10.91,63.03,51.47,29.42,17.25,70,75,Yes
SOM,Somalia,Middle East & North Africa,2023,1,34.48,47.69,17.55,47.58,35.47,65.86,34.95,36.82,25.11,8.17,21.21,27.09,34.4,81.25,40.03,17.25,80.0,83.19,61.46,0.0,10.88,26.86,67.12,45.42,43.64,6.77,0.0,39.4,26.07,24.15,10.82,16.34,0.0,50.0,13.64,0.0,27.09,54.0,14.81,100.0,62.5,29.88,29.44,15.83,64.82,51.11,47.54,17.25,70,75,Yes
SOM,Somalia,Middle East & North Africa,2024,1,39.4,52.4,24.84,46.86,39.49,69.98,42.61,36.82,26.39,19.45,32.54,28.39,34.4,77.78,40.01,37.39,90.0,87.2,63.94,5.21,17.07,34.59,76.17,45.42,43.64,6.77,0.0,40.81,24.22,25.56,14.98,25.99,12.9,66.67,30.95,0.0,28.39,54.0,14.81,100.0,55.57,30.02,29.71,16.08,63.41,59.42,32.57,37.39,70,75,Yes
SRB,Serbia,Europe & Central Asia,2021,3,71.21,63.86,68.08,81.19,72.82,88.8,52.03,37.66,68.64,65.97,71.16,81.7,80.48,81.4,68.58,89.8,99.19,99.0,98.2,0.0,25.21,41.42,89.46,50.86,40.77,0.0,0.0,82.37,68.25,69.04,54.92,73.19,58.75,66.67,46.83,100.0,81.7,99.0,61.96,76.11,86.7,60.41,82.28,66.27,86.65,67.92,41.0,89.8,45,50,No
SRB,Serbia,Europe & Central Asia,2022,3,72.37,66.79,68.78,80.17,74.48,88.81,59.09,38.13,70.39,65.98,71.16,82.04,80.48,78.0,70.65,89.8,99.26,99.0,98.2,0.0,32.06,55.19,90.03,51.81,40.77,0.0,0.0,85.34,69.07,71.72,55.45,73.36,58.6,66.67,46.83,100.0,82.04,99.0,61.96,74.91,81.08,60.75,85.14,68.05,87.26,71.1,47.0,89.8,45,50,No
SRB,Serbia,Europe & Central Asia,2023,3,75.49,73.17,69.18,86.14,74.49,89.18,74.69,38.13,68.75,68.62,71.16,82.2,80.55,95.66,70.66,89.8,99.75,99.0,99.0,0.0,53.65,78.4,92.03,51.81,40.77,0.0,0.0,83.35,67.78,69.73,54.16,75.99,61.24,66.67,46.83,100.0,82.2,99.0,62.1,96.38,94.94,61.51,85.14,68.7,86.89,71.13,45.0,89.8,45,50,No
SRB,Serbia,Europe & Central Asia,2024,3,77.03,78.43,68.78,86.78,75.2,91.08,85.92,38.13,65.7,70.66,71.16,82.85,80.55,96.94,69.8,96.82,99.77,99.5,99.5,15.0,66.92,97.82,93.02,51.81,40.77,0.0,0.0,77.32,72.93,63.7,48.85,78.03,63.28,66.67,46.83,100.0,82.85,99.0,62.1,96.45,97.44,62.04,85.4,66.95,83.69,70.04,47.14,96.82,45,50,No
SSD,South Sudan,Sub-Saharan Africa,2021,1,10.52,27.07,3.68,15.72,7.83,45.02,12.2,20.9,0.0,0.0,18.4,27.84,17.71,1.61,8.34,5.75,69.0,66.31,29.0,0.0,5.99,7.79,22.83,23.81,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19,0.0,0.0,27.84,34.5,0.93,3.23,0.0,0.53,2.59,4.72,12.1,11.66,22.84,5.75,70,75,Yes
SSD,South Sudan,Sub-Saharan Africa,2022,1,12.07,34.83,3.68,16.9,9.8,50.9,22.35,27.67,0.0,0.0,18.4,31.36,17.71,1.61,10.81,5.75,69.0,69.0,41.0,0.0,6.46,7.22,53.36,33.33,36.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19,0.0,0.0,31.36,34.5,0.93,3.23,0.0,0.0,5.18,4.28,15.21,14.13,35.68,5.75,70,75,Yes
SSD,South Sudan,Sub-Saharan Africa,2023,1,12.72,38.74,3.91,17.43,9.93,60.1,22.92,27.67,1.97,0.0,15.61,32.96,17.71,1.61,10.97,5.75,77.0,76.0,55.0,0.0,5.73,8.04,54.98,33.33,36.67,0.0,0.0,7.88,0.0,0.0,0.0,0.0,0.0,46.83,0.0,0.0,32.96,34.5,0.93,3.23,0.0,2.43,5.18,6.59,15.82,15.27,24.32,5.75,70,75,Yes
SSD,South Sudan,Sub-Saharan Africa,2024,1,14.58,41.61,3.45,17.93,17.58,64.0,26.19,27.67,0.81,0.0,15.61,34.47,17.71,1.61,13.38,34.38,80.0,78.0,62.0,0.0,6.36,9.83,62.37,33.33,36.67,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,46.83,0.0,0.0,34.47,34.5,0.93,3.23,0.0,3.93,15.04,7.61,13.74,16.27,35.62,34.38,70,75,Yes
SUR,Suriname,Latin America & Caribbean,2021,2,56.53,55.22,53.21,71.93,48.3,83.2,40.38,28.96,42.45,47.0,87.17,67.95,66.06,81.77,52.57,31.2,100.0,95.0,88.0,0.0,13.67,22.55,84.91,43.43,24.17,0.0,0.0,54.35,46.99,37.91,30.54,55.9,38.09,100.0,61.52,100.0,67.95,94.4,37.73,80.98,82.55,63.73,31.5,66.08,74.34,16.98,52.0,31.2,60,65,No
SUR,Suriname,Latin America & Caribbean,2022,2,58.58,56.26,58.56,77.09,46.38,83.2,42.96,28.96,45.29,58.76,84.68,70.04,66.02,95.22,50.17,31.2,100.0,95.0,88.0,0.0,15.37,27.3,86.21,43.43,24.17,0.0,0.0,57.2,49.84,40.74,33.37,67.68,49.85,100.0,54.04,100.0,70.04,94.4,37.65,99.5,90.94,63.92,34.18,56.81,70.78,16.95,50.62,31.2,60,65,No
SUR,Suriname,Latin America & Caribbean,2023,2,58.15,55.76,59.71,74.24,46.25,83.2,41.71,28.96,49.57,57.36,84.68,71.35,66.02,85.34,50.01,31.2,100.0,95.0,88.0,0.0,14.79,29.21,81.12,43.43,24.17,0.0,0.0,61.47,54.11,45.03,37.67,66.27,48.45,100.0,54.04,100.0,71.35,94.4,37.65,88.25,82.43,63.82,34.18,54.24,69.31,19.54,52.13,31.2,60,65,No
SUR,Suriname,Latin America & Caribbean,2024,2,60.06,56.97,61.22,78.0,47.84,83.2,44.75,28.96,48.31,62.41,84.68,72.5,66.02,95.47,51.1,34.78,100.0,95.0,88.0,0.0,16.99,30.86,86.4,43.43,24.17,0.0,0.0,60.21,52.85,43.76,36.4,71.32,53.5,100.0,54.04,100.0,72.5,94.4,37.65,100.0,90.94,63.36,48.14,55.02,67.03,21.5,49.01,34.78,60,65,No
SVK,Slovakia,Europe & Central Asia,2021,0,81.28,74.94,81.53,88.82,80.4,91.63,57.8,75.85,81.96,82.98,77.78,85.69,80.77,100.0,77.41,92.36,100.0,99.1,99.1,23.5,36.63,46.41,90.36,90.1,79.17,47.0,0.0,96.42,77.1,86.83,67.51,88.17,77.78,66.67,66.67,100.0,85.69,99.0,62.54,100.0,100.0,74.64,72.18,70.43,90.37,82.87,65.35,92.36,90,85,Yes
SVK,Slovakia,Europe & Central Asia,2022,0,83.21,78.77,85.58,88.44,80.39,93.08,62.18,83.35,89.63,85.43,77.78,86.52,81.3,97.5,77.4,92.36,100.0,99.1,99.1,38.0,42.82,53.02,90.7,90.1,79.17,97.0,0.0,100.0,86.96,94.59,76.97,90.83,80.02,66.67,66.67,100.0,86.52,99.0,63.6,100.0,95.0,74.61,72.6,70.41,89.19,82.61,67.77,92.36,90,85,Yes
SVK,Slovakia,Europe & Central Asia,2023,0,84.94,83.99,87.26,88.42,80.32,96.29,72.02,83.35,91.35,87.91,77.78,88.77,81.3,95.18,77.32,92.36,100.0,99.1,99.1,70.1,54.6,69.94,91.51,90.1,79.17,97.0,0.0,100.0,89.25,96.89,79.26,93.32,82.5,66.67,66.67,100.0,88.77,99.0,63.6,100.0,90.36,74.79,72.6,69.99,89.2,82.84,66.93,92.36,90,85,Yes
SVK,Slovakia,Europe & Central Asia,2024,0,83.09,86.88,77.58,87.66,80.67,97.53,77.99,83.35,65.98,89.1,77.78,88.67,81.3,93.02,77.23,94.45,100.0,99.1,99.1,82.5,63.52,78.21,92.24,90.1,79.17,97.0,0.0,75.13,69.26,65.14,54.38,94.5,83.69,66.67,66.67,100.0,88.67,99.0,63.6,100.0,86.05,75.07,70.97,68.11,87.36,84.0,72.22,94.45,90,85,Yes
SVN,Slovenia,Europe & Central Asia,2021,0,81.88,79.94,80.07,87.13,80.59,93.47,59.03,94.73,87.36,76.2,73.22,86.47,90.41,84.5,82.0,74.93,99.92,100.0,99.0,38.8,39.15,47.02,90.91,97.62,100.0,95.0,33.33,91.92,91.92,82.8,82.8,81.14,71.26,59.84,59.84,100.0,86.47,99.7,81.12,86.39,82.61,77.27,85.98,73.3,96.12,82.83,75.01,74.93,90,85,Yes
SVN,Slovenia,Europe & Central Asia,2022,0,84.8,84.77,84.8,88.36,81.42,96.4,68.17,94.73,96.6,78.8,73.22,86.93,90.91,87.24,83.04,74.93,99.99,100.0,99.0,68.0,54.51,57.72,92.28,97.62,100.0,95.0,33.33,100.0,100.0,93.2,93.2,83.73,73.86,59.84,59.84,100.0,86.93,99.7,82.11,89.69,84.78,77.43,86.66,77.37,95.26,82.85,77.95,74.93,90,85,Yes
SVN,Slovenia,Europe & Central Asia,2023,0,86.28,89.6,86.26,88.93,80.64,97.6,79.05,94.73,97.75,81.29,73.22,87.31,90.91,88.57,82.06,74.93,99.99,100.0,99.0,80.0,77.82,66.63,92.69,97.62,100.0,95.0,33.33,100.0,100.0,95.5,95.5,86.23,76.35,59.84,59.84,100.0,87.31,99.7,82.11,89.9,87.23,77.64,86.66,73.71,94.42,83.09,76.27,74.93,90,85,Yes
SVN,Slovenia,Europe & Central Asia,2024,0,86.76,94.41,76.48,92.44,84.88,98.23,90.43,94.73,72.39,82.19,73.22,87.55,90.91,98.85,81.99,96.47,99.9,99.9,99.7,84.0,100.0,78.41,92.89,97.62,100.0,95.0,33.33,82.25,69.71,73.13,64.46,87.13,77.26,59.84,59.84,100.0,87.55,99.7,82.11,100.0,97.7,77.74,86.4,74.59,92.28,83.93,76.4,96.47,90,85,Yes
SWE,Sweden,Europe & Central Asia,2021,0,88.53,85.65,83.72,93.29,91.81,91.55,81.55,82.05,89.41,86.56,66.67,89.13,94.85,95.88,91.13,94.55,100.0,99.0,99.0,23.49,79.0,76.9,88.75,85.71,90.63,80.0,0.0,100.0,86.88,95.84,74.94,93.03,80.1,50.0,50.0,100.0,89.13,99.0,90.7,100.0,91.75,84.3,90.01,86.0,99.24,92.22,97.75,94.55,90,85,Yes
SWE,Sweden,Europe & Central Asia,2022,0,89.94,91.27,82.99,95.23,90.7,94.5,92.66,82.05,88.13,86.0,66.67,89.52,96.18,100.0,89.73,94.55,100.0,99.0,99.0,53.0,100.0,88.88,89.1,85.71,90.63,80.0,0.0,100.0,85.36,94.27,72.88,92.77,79.24,50.0,50.0,100.0,89.52,99.0,93.36,100.0,100.0,84.13,90.02,81.24,96.72,92.38,98.38,94.55,90,85,Yes
SWE,Sweden,Europe & Central Asia,2023,0,89.71,94.03,80.39,95.01,90.21,97.4,96.65,82.05,83.87,83.76,66.67,89.86,96.18,98.98,89.12,94.55,100.0,99.0,99.0,82.0,100.0,100.0,89.95,85.71,90.63,80.0,0.0,94.05,86.18,81.56,73.7,90.52,76.99,50.0,50.0,100.0,89.86,99.0,93.36,100.0,97.96,84.17,90.02,78.64,96.28,92.67,97.66,94.55,90,85,Yes
SWE,Sweden,Europe & Central Asia,2024,0,89.54,94.45,78.63,95.07,91.05,98.3,96.81,82.05,78.71,84.54,66.67,90.05,96.18,98.98,88.99,99.31,100.0,99.0,99.0,91.0,100.0,100.0,90.43,85.71,90.63,80.0,0.0,87.33,83.62,74.85,69.04,91.31,77.78,50.0,50.0,100.0,90.05,99.0,93.36,100.0,97.96,84.09,88.36,79.86,93.95,93.55,98.63,99.31,90,85,Yes
SWZ,Eswatini,Sub-Saharan Africa,2021,2,49.94,52.92,46.47,71.43,35.41,77.5,39.61,30.38,27.98,43.27,89.86,50.17,77.59,86.54,39.7,18.23,99.0,98.0,71.0,0.0,11.63,23.82,83.39,42.76,30.0,0.0,0.0,51.34,30.34,25.61,4.62,57.2,29.34,84.78,84.78,100.0,50.17,90.16,65.01,100.0,73.08,40.08,40.61,32.72,55.56,47.36,5.0,18.23,60,65,No
SWZ,Eswatini,Sub-Saharan Africa,2022,2,51.52,54.72,49.39,76.57,34.06,81.51,40.11,30.38,33.69,44.85,89.86,51.83,77.88,100.0,38.01,18.23,99.1,99.0,80.0,0.0,11.14,26.13,83.07,42.76,30.0,0.0,0.0,58.13,34.98,32.41,9.26,58.78,30.92,84.78,84.78,100.0,51.83,90.75,65.01,100.0,100.0,40.19,32.4,27.7,56.28,47.19,5.0,18.23,60,65,No
SWZ,Eswatini,Sub-Saharan Africa,2023,2,53.13,55.77,54.22,75.07,35.11,84.31,39.92,30.38,39.29,51.34,89.86,52.9,77.88,94.44,39.33,18.23,99.1,99.0,87.0,0.0,12.1,30.02,77.64,42.76,30.0,0.0,0.0,67.62,36.67,41.9,10.95,65.27,37.41,84.78,84.78,100.0,52.9,90.75,65.01,100.0,88.89,40.46,32.4,33.55,56.2,47.76,5.0,18.23,60,65,No
SWZ,Eswatini,Sub-Saharan Africa,2024,2,57.14,58.41,50.71,73.22,49.14,87.41,43.44,30.38,29.32,52.52,89.86,54.03,77.88,87.76,41.56,79.43,99.1,98.74,95.0,0.0,14.19,35.04,81.08,42.76,30.0,0.0,0.0,44.01,36.69,18.29,18.28,66.46,38.59,84.78,84.78,100.0,54.03,90.75,65.01,100.0,75.51,39.13,45.57,37.59,52.43,53.38,5.0,79.43,60,65,No
SYC,Seychelles,Sub-Saharan Africa,2021,2,67.82,62.95,67.6,82.12,60.52,89.56,50.33,34.98,43.73,80.35,89.86,71.54,74.83,100.0,72.34,13.23,99.4,99.4,99.4,1.0,23.76,37.91,89.33,48.95,35.0,0.0,0.0,64.48,36.59,50.87,22.98,87.72,72.98,84.78,84.78,100.0,71.54,95.9,53.77,100.0,100.0,95.07,53.0,68.0,100.0,32.28,79.75,13.23,60,65,No
SYC,Seychelles,Sub-Saharan Africa,2022,3,68.27,67.95,64.67,83.06,59.5,89.96,53.8,52.24,49.38,67.36,89.86,72.45,76.73,100.0,71.07,13.23,99.4,99.4,99.4,5.0,28.58,42.8,90.03,58.48,51.67,50.0,0.0,70.15,42.26,56.51,28.62,74.74,59.97,84.78,84.78,100.0,72.45,95.9,57.56,100.0,100.0,95.37,44.24,61.53,100.0,35.53,81.61,13.23,45,50,No
SYC,Seychelles,Sub-Saharan Africa,2023,3,69.2,68.45,68.65,81.77,59.68,91.26,53.74,52.24,57.87,68.83,89.86,73.36,76.89,95.07,71.29,13.23,99.4,99.4,99.4,18.0,34.04,54.86,72.33,58.48,51.67,50.0,0.0,78.65,50.75,64.99,37.09,76.23,61.43,84.78,84.78,100.0,73.36,95.9,57.87,100.0,90.13,95.69,44.24,61.74,100.0,36.65,80.55,13.23,45,50,No
SYC,Seychelles,Sub-Saharan Africa,2024,3,73.98,70.84,73.17,83.66,69.08,92.09,58.88,52.24,69.54,68.45,89.86,74.09,76.89,100.0,73.75,50.41,99.4,99.4,99.4,26.3,37.4,57.1,82.15,58.48,51.67,50.0,0.0,90.32,62.43,76.64,48.75,75.86,61.04,84.78,84.78,100.0,74.09,95.9,57.87,100.0,100.0,95.69,46.38,63.93,100.0,46.64,78.61,50.41,45,50,No
TCD,Chad,Sub-Saharan Africa,2021,1,20.68,38.09,15.73,17.72,17.22,41.01,37.13,34.17,6.09,4.29,57.91,28.59,24.57,0.0,11.42,40.44,86.1,59.0,22.0,0.0,8.89,26.46,76.04,33.33,58.33,0.0,0.0,17.72,4.39,2.26,0.0,8.57,0.0,73.73,0.0,100.0,28.59,30.63,18.52,0.0,0.0,14.13,23.63,3.23,12.1,8.9,13.8,40.44,70,75,Yes
TCD,Chad,Sub-Saharan Africa,2022,1,25.62,43.67,22.32,24.2,18.26,50.21,37.12,43.69,8.94,5.78,82.14,29.27,24.57,18.75,12.71,40.44,86.1,68.0,36.0,0.0,9.4,28.39,73.57,52.38,58.33,0.0,0.0,20.48,10.27,5.02,0.0,11.56,0.0,73.73,72.7,100.0,29.27,30.63,18.52,0.0,37.5,13.62,27.26,2.73,15.21,11.42,13.91,40.44,70,75,Yes
TCD,Chad,Sub-Saharan Africa,2023,1,24.13,44.68,19.65,20.33,19.0,55.01,34.85,43.69,2.5,5.57,82.14,30.02,24.57,6.41,13.64,40.44,86.1,76.0,40.0,0.0,11.39,28.76,64.39,52.38,58.33,0.0,0.0,6.75,3.25,0.0,0.0,11.13,0.0,73.73,72.69,100.0,30.02,30.63,18.52,12.82,0.0,14.76,27.26,5.23,15.82,11.81,13.88,40.44,70,75,Yes
